カテゴリ,番号,,想定シーン,プロンプト本文
,75,会社として、社員にどのような人材になってほしいのかという「理想の人材像」が明確に示されていない。,会社として「理想の人材像」を定義し、共有するための、経営層や人事部での議論の時間が十分に確保されていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（「理想の人材像」が未定義な状況用） ▼▼▼

#役割
あなたは、中小企業の組織開発を専門とする、経験豊富な人事コンサルタントです。企業の理念やビジョンを具体的な人材要件に落とし込み、組織全体の成長を支援することを得意としています。

#背景
私は、従業員数[あなたの会社の現在の従業員数]名の中小企業に勤務しています。
私たちの会社では、会社として社員にどのような人材になってほしいのかという「理想の人材像」が明確に定義されていません。
そのため、採用基準が曖昧になったり、社員の育成方針が定まらなかったり、評価の納得感が得られにくいといった課題が生じています。
当社の企業理念・ビジョンは「[あなたの会社の企業理念やビジョン（もしあれば、なければ「特になし」と記入）]」です。
業種は[あなたの会社の業種]です。

#依頼
上記の背景を踏まえ、私たちが自社の「理想の人材像」を定義し、社内に浸透させていくための具体的かつ実践的なアクションプランを提案してください。

#出力形式と条件
以下のステップに沿って、体系的に提案してください。

**ステップ1：理想の人材像を定義するための準備**
*   なぜ今、理想の人材像を定義する必要があるのか、その目的とメリットを経営層や社員に説明するための論点を3つ挙げてください。
*   このプロジェクトを進めるにあたり、誰を巻き込むべきか（例：経営層、各部門のマネージャー、若手社員など）、その役割分担の案を提示してください。

**ステップ2：理想の人材像の構成要素の洗い出し**
*   理想の人材像を定義する上で考慮すべき観点（例：価値観・マインドセット、能力・スキル、行動特性など）を網羅的にリストアップしてください。
*   当社の業種や企業理念を踏まえ、特に重要となりそうな要素をいくつか具体例とともに示してください。

**ステップ3：定義プロセスとワークショップの具体案**
*   経営層や社員を巻き込みながら、ボトムアップで理想の人材像を定義していくためのワークショップの進め方を、具体的なアジェンダ（目的、時間、内容、参加者）とともに提案してください。
*   ワークショップで使える、具体的な問いかけの例を5つ以上挙げてください。（例：「お客様に最高の価値を提供するために、私たちはどんな行動をすべきか？」など）

**ステップ4：社内への浸透と活用方法**
*   定義した理想の人材像を、単なる「お題目」で終わらせず、日々の業務に活かすための具体的な方法を「採用」「育成」「評価」の3つの観点から提案してください。

#補足
*   中小企業のリソースが限られている状況でも実行可能な、現実的なプランにしてください。
*   専門用語は避け、誰にでも分かりやすい言葉で説明してください。
」"
,76,自己啓発のための費用補助制度はあるが、申請手続きが面倒だったり、対象となる範囲が狭かったりして、ほとんど利用されていない。,自己啓発のための費用補助制度はあるが、担当者が通常業務の合間に処理しているため、申請手続きが煩雑で、時間がかかってしまう。,"「#### ▼▼▼ Geminiへのコピペ用プロンプト（自己啓発費用補助制度の利用促進用） ▼▼▼

#役割
あなたは、中小企業の人事制度改革を専門とする経験豊富な経営コンサルタントです。特に、従業員のエンゲージメントとスキルアップを促進するための、現実的で導入しやすい施策の立案を得意としています。

#背景
私が所属する中小企業には、社員の自己啓発を支援するための費用補助制度が存在します。しかし、この制度は以下の理由でほとんど利用されておらず、形骸化してしまっています。
*   **課題1：手続きの煩雑さ:** 申請に必要な書類が多く、承認プロセスも複雑で時間がかかりすぎる。
*   **課題2：対象範囲の狭さ:** 補助対象が一部の資格試験やセミナーに限定されており、社員が本当に学びたい多様なニーズに応えられていない。

#目的
この制度を抜本的に見直し、社員が「使いたい！」と思えるような、魅力的で利用しやすい制度へと刷新したいと考えています。最終的なゴールは、社員の自律的な学習文化を醸成し、組織全体の成長につなげることです。

#命令
上記の背景と目的を踏まえ、以下の3つの観点から、現状を打破するための具体的かつ実行可能な改善アイデアを、多角的に提案してください。アイデアは、中小企業の限られたリソースでも導入・運用できることを前提とします。

**【提案を求める観点】**
1.  **申請プロセスの抜本的な簡素化**
    *   例：チャットツールを活用した申請フロー、申請フォームのテンプレート化、領収書の写真提出のみでOKにするなど、社員の手間を極限まで減らすアイデア。

2.  **補助対象範囲の魅力的な拡大**
    *   例：オンライン学習プラットフォームのサブスク費用、ビジネス関連の書籍購入、ウェビナー参加費、関連コミュニティへの参加費など、現代の学習スタイルに合わせた柔軟な対象範囲のアイデア。
    *   承認基準を明確にしつつも、社員の自発性を尊重できるようなルール案。

3.  **制度の利用を促すための効果的な周知・広報活動**
    *   例：制度刷新の社内説明会、活用事例の共有（誰が、何を学び、どう仕事に活かしたか）、上司から部下への利用推奨の声かけを促す仕組みなど、制度の存在とメリットを全社員に浸透させるアイデア。

#出力形式
*   上記の3つの観点ごとに、具体的なアイデアを箇条書きで整理して提示してください。
*   それぞれのアイデアには、【期待できる効果】と【導入時の注意点】を簡潔に併記してください。
*   専門用語を避け、誰が読んでも理解できる平易な言葉で説明してください。

」"
,77,意欲的に学ぶ社員に対して、「意識高い系」と揶揄するような雰囲気が社内にある。,意欲的に学ぶ社員を、周囲が「意識高い系」と揶揄するのは、自分たちには学ぶ時間がないという、多忙さからくる嫉妬の裏返しでもある。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（「意識高い系」と揶揄する雰囲気の改善用） ▼▼▼

#役割
あなたは組織心理学とチェンジマネジメントに精通した、経験豊富な組織開発コンサルタントです。特に、中小企業における組織文化の変革や、従業員のエンゲージメント向上に関する課題解決を数多く手掛けてきました。

#相談内容
私が所属する中小企業では、新しい知識を学んだり、資格取得に励んだり、業務改善に意欲的に取り組んだりする社員に対して、一部の同僚が「意識高い系」「どうせ長続きしない」といった揶揄や、冷笑的な態度を取る雰囲気があります。
このため、意欲ある社員のモチベーションが低下してしまったり、他の社員が新たな挑戦を躊躇してしまったりするなど、会社全体の成長を阻害する深刻な問題だと感じています。

#依頼事項
この問題を根本から解決し、社員一人ひとりが安心して前向きに学び、挑戦できる健全な組織文化を醸成するために、以下の観点から、具体的かつ実践的なアクションプランを体系的に提案してください。

#出力形式
以下の構成で、ステップバイステップで詳細なアドバイスを生成してください。

1.  **根本原因の分析**
    *   なぜこのような「意識高い系を揶揄する雰囲気」が生まれるのか、考えられる心理的・組織的な背景を5つの観点から分析し、それぞれ簡潔に解説してください。

2.  **立場別・短期的なアクションプラン**
    *   以下の3つの立場から、明日からすぐに実践できる具体的なアクションを提案してください。特に、コミュニケーションについては、状況に応じた具体的な会話例（OK例・NG例）を豊富に含めて、リアルに描写してください。
        *   **(1) 揶揄される側の社員（当事者）向け:** 自身のモチベーションを維持しつつ、周囲との関係を悪化させずに状況を好転させるための賢明な振る舞い方や切り返し方。
        *   **(2) マネジメント層（経営者・管理職）向け:** この問題を放置せず、組織課題として認識し、ポジティブな文化を醸成するために取るべき具体的なリーダーシップと施策。
        *   **(3) 周囲の社員（傍観者）向け:** この雰囲気に直接加担はしていないものの、どう振る舞えば良いか分からない社員が、状況を改善するためにできる小さな貢献。

3.  **組織全体で取り組む中長期的な文化醸成戦略**
    *   問題の再発を防ぎ、「学習と挑戦」が称賛され、組織の力となる文化を根付かせるための、中長期的な戦略を3つ提案してください。それぞれの戦略について、目的、具体的な施策、期待される効果を明確に記述してください。

#制約条件
*   中小企業の限られたリソース（人・モノ・カネ）でも実行可能な、現実的でスモールスタートできる提案を重視してください。
*   単なる精神論ではなく、行動科学や組織心理学の知見に基づいた、論理的で説得力のある内容にしてください。
*   専門用語は避け、誰にでも理解できる平易な言葉で説明してください。
」"
,78,社員のキャリアパスが、管理職になるという単線的なものしか用意されておらず、専門性を極めたい社員の目標がない。,専門性を極めるキャリアパスを制度として作るには、多くの議論と設計の時間が必要なため、管理職という単線的なパスしか用意できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（専門職キャリアパスの設計用） ▼▼▼
#役割
あなたは、中小企業の組織開発と人事制度設計を専門とする、経験豊富な人事コンサルタントです。

#背景
私が所属する中小企業では、社員のキャリアパスが「管理職（マネージャー）」を目指す単線的なものしか用意されていません。その結果、現場で専門性を高めて貢献したい優秀な社員が、将来の目標を見失い、モチベーションの低下や離職につながるという課題を抱えています。

#目的
この課題を解決するため、従来の管理職コースとは別に、社員が専門性を追求し続けられる「専門職コース（エキスパート職群）」を新たに設計し、複線型キャリアパス制度を導入したいと考えています。

#命令
上記の目的を達成するため、当社のための「複線型キャリアパス制度」の導入プランを、以下の構成で具体的に提案してください。

1.  **制度コンセプトの提案**
    *   制度の魅力的な名称案を3つ提案してください。
    *   「管理職コース」と「専門職コース」の役割の違い、それぞれの組織への貢献価値、そして両者の関係性（連携やコース転換の可能性など）について、社員に分かりやすく説明する文章を作成してください。

2.  **専門職コースの等級・役職設計案**
    *   専門職コースの具体的な等級レベル（3〜5段階程度）と、それぞれの魅力的な役職名を提案してください。
    *   以下の表形式を用いて、各等級に求められる「役割・責任」と「スキル要件」の具体例を示してください。

| 等級 | 役職名案 | 役割・責任（概要） | 求められるスキル要件（具体例） |
| :--- | :--- | :--- | :--- |
| (例)E1 | アソシエイト・スペシャリスト | 指導者のもと、担当分野の専門業務を遂行する | 担当業務の専門知識、基本的な問題解決能力 |
| (例)E2 | スペシャリスト | 自律的に専門業務を遂行し、後輩の指導も行う | 高度な専門知識、応用力、後輩指導スキル |
| (例)E3 | シニア・スペシャリスト | チームや部門の専門性をリードし、難易度の高い課題を解決する | 特定分野における深い専門性、課題設定力、周囲への技術的影響力 |
| (例)E4 | プリンシパル・エキスパート | 全社的な専門領域の第一人者として、経営課題の解決やイノベーションを牽引する | 業界トップレベルの専門性、戦略的思考力、後進育成の仕組み作り |

3.  **評価・処遇制度の考え方**
    *   専門職コースの貢献度を公正に評価するための、具体的な評価項目の観点を複数挙げてください。（例：「専門性の深化」「成果創出」「ナレッジ共有」「後進育成」など）
    *   管理職コースの同等の等級と、給与・賞与などの処遇に不公平感が出ないようにするための基本的な考え方や仕組みについて説明してください。

4.  **制度導入に向けたアクションプラン**
    *   この制度をスムーズに社内に導入するための現実的な計画を、以下のステップで提案してください。
        *   STEP1: 準備・設計フェーズ
        *   STEP2: 周知・説明フェーズ
        *   STEP3: 運用開始・移行フェーズ
        *   STEP4: 評価・改善フェーズ

5.  **導入における注意点と対策**
    *   この制度を導入する際に、中小企業が特に注意すべき点や、想定される課題を3つ挙げてください。
    *   それぞれの課題に対して、具体的な対策案を簡潔に示してください。

#条件
*   中小企業でも無理なく運用できるよう、シンプルかつ現実的な提案にしてください。
*   人事制度に詳しくない経営者や社員にも理解できるよう、専門用語を避け、平易な言葉で説明してください。
*   出力はマークダウン形式を効果的に使用し、見やすく整理してください。
」"
,79,上司からの指示や命令を忠実にこなす社員は評価されるが、自ら課題を見つけて学ぶような主体的な社員は「扱いにくい」と敬遠される。,自ら課題を見つけて学ぶ社員は、そのための調査や学習に時間を要するため、目の前のタスクを素早くこなす社員の方が、短期的には評価されやすい。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（主体的な社員が敬遠される職場用） ▼▼▼

あなたは、数多くの中小企業の組織課題を解決してきた、経験豊富な組織開発コンサルタントです。
以下の状況設定を深く理解し、この問題に直面しているビジネスパーソン（当事者である若手・中堅社員、および管理職）に、具体的で実践的な気づきと行動指針を与えてください。

# 状況設定
- **組織:** 中小企業
- **文化:** 上司からの指示や命令を忠実にこなす「指示待ち型」の社員は、真面目で扱いやすいと評価される傾向がある。
- **課題:** 一方で、自ら課題を見つけて改善提案をしたり、新しい知識を学んで業務に活かそうとしたりする「主体的な社員」は、「和を乱す」「生意気だ」「扱いにくい」といった理由で上司から敬遠され、正当な評価を受けにくい。結果として、主体的な社員のモチベーションが低下し、組織全体の成長が停滞するリスクを抱えている。

# あなたへの依頼事項
この状況について、以下の体系的なフレームワークに従って、詳細な分析と具体的なアドバイスを提供してください。

### 1. 問題の構造分析
この問題がなぜ発生するのか、その根本原因を以下の3つの視点から多角的に分析してください。
- **上司側の心理・背景:**
    - なぜ主体的な部下を「扱いにくい」と感じるのか？（例：管理能力への不安、現状維持バイアス、短期的な業務効率の優先など）
- **主体的な社員側の課題:**
    - 良かれと思った行動が、なぜ「敬遠される」という結果につながってしまうのか？（例：提案のタイミングや伝え方、周囲への配慮不足、目的共有の欠如など）
- **組織文化・制度的な要因:**
    - どのような組織文化や評価制度が、この問題を助長しているのか？（例：減点主義の評価、失敗を許容しない風土、短期的な成果主義、トップダウンの意思決定プロセスなど）

### 2. 立場別の具体的なアクションプラン
もし、この状況に置かれた当事者から相談を受けたら、あなたはどのようなアドバイスをしますか？それぞれの立場に対して、明日から実践できる具体的な行動を3つずつ提案してください。

- **もし私が「主体的な社員」だったら、どう振る舞うべきか？**
    - （例：上司を「攻略対象」と捉え、まず信頼関係を構築するための具体的な行動、効果的な提案のフォーマット、組織内で味方を作るための根回し術など）

- **もし私が「主体的な部下を持つ上司」だったら、どうすべきか？**
    - （例：部下の主体性を潰さずに活かすためのコミュニケーション方法、権限移譲の具体的なステップ、チーム全体の成果として評価するための仕組みづくりなど）

### 3. この組織が長期的に成長するための提言
最後に、コンサルタントとして、この組織が「指示待ち集団」から「自律型学習組織」へと変革していくために、経営層が進めるべき最も重要な施策を1つだけ挙げ、その理由と具体的な進め方を簡潔に説明してください。

# 出力形式
- 各項目について、箇条書きを用いて分かりやすく整理してください。
- 専門用語は避け、中小企業で働く人々が直感的に理解できる言葉で説明してください。
- 理想論だけでなく、人間関係や感情にも配慮した、現実的なアドバイスを重視してください。
」"
,80,スキルアップした結果、給与や役職に反映されるキャリアパスが不透明なため、学ぶことのメリットを感じられない。,スキルアップが、給与や役職にどう反映されるかのキャリアパスを、人事がじっくりと設計し、社員に説明する時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（キャリアパスが不透明な状況用） ▼▼▼

# 役割
あなたは、中小企業の人事制度と個人のキャリア開発に精通した、経験豊富なキャリアコンサルタントです。私の状況と心情に深く共感し、具体的で実行可能なアクションプランを体系的に提案してください。

# 背景
私は中小企業に勤務しています。自己投資としてスキルアップに励んでいますが、社内に明確なキャリアパス（昇進・昇給の基準やモデルケース）が存在しません。そのため、習得したスキルがどのように評価され、将来の給与や役職にどう反映されるのかが全く見えず、「このまま学び続けても意味があるのだろうか」と、学習に対するモチベーションが著しく低下しています。

# 依頼事項
この閉塞感を打破し、前向きに自身のキャリアを切り拓いていくための、具体的な戦略とアクションプランを以下の4つの視点から提案してください。

1.  **【自己分析とモチベーション再構築】**
    *   給与や役職といった外的要因とは別に、スキルアップがもたらす「個人の市場価値向上」や「業務効率化による時間創出」など、学び続けることのメリットを5つ挙げてください。
    *   習得したスキルが、現在の業務にどのような付加価値をもたらしているかを客観的に自己分析するための「振り返り質問リスト」を5つ作成してください。

2.  **【社内での建設的な働きかけ】**
    *   キャリアパスについて上司にポジティブな印象で相談するための、具体的な会話シナリオを「切り出し方」「現状の貢献アピール」「将来の希望の伝え方」「具体的な提案」の4ステップで作成してください。
    *   自分のスキルセットとキャリアプランをA4一枚程度で上司や経営層に提示するための「キャリアプラン提案書」のテンプレートを、箇条書き形式で作成してください。

3.  **【社外に目を向けた市場価値の確認】**
    *   私が習得したスキルセット（例：デジタルマーケティング、データ分析、プロジェクトマネジメントなど）が、現在の転職市場でどの程度の価値を持つのかを客観的に把握するための具体的な方法を3つ教えてください。
    *   現職に留まる以外の選択肢として、習得したスキルを活かせる「副業」や「プロボノ活動」の具体例を3つ挙げ、その始め方も含めて説明してください。

4.  **【長期的なキャリア戦略の立案】**
    *   上記1〜3を踏まえ、私が今後取るべき選択肢として以下の3つを想定し、それぞれのメリット・デメリット、および選択する際の判断基準をまとめた比較表を作成してください。
        *   **選択肢A:** 現職に留まり、自らキャリアパスを創り出す。
        *   **選択肢B:** 現職を続けながら、副業などでスキルの実践と収入源の確保を行う。
        *   **選択肢C:** 自身のスキルを正当に評価してくれる企業への転職を検討する。

# 出力形式
*   各項目（1〜4）について、見出しを付けて分かりやすく整理してください。
*   箇条書きやステップ形式を多用し、私がすぐに行動に移せるように記述してください。
」"
,81,会社が「学ばせる」という姿勢ばかりで、社員が「学びたい」と思えるような動機付けや環境づくりを怠っている。,社員が「学びたい」と思えるような動機付けや環境づくりには、1on1などの時間のかかるコミュニケーションが必要だが、その時間が不足している。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社員の学習意欲向上用） ▼▼▼

# 命令書

あなたは、数多くの中小企業の組織課題を解決してきた、経験豊富な組織開発コンサルタントです。
以下の前提条件と課題に基づき、最高の提案を行ってください。

## 前提条件
*   **会社:** 従業員50名程度の中小企業
*   **現状の課題:** これまで会社主導で研修などを企画してきたが、「学ばせる」というトップダウンの姿勢が強く、社員に「やらされ感」が蔓延している。その結果、社員が自発的に「学びたい」と思えるような動機付けや、学習を支援・奨励する環境が全く整っていない。
*   **目指す姿:** 社員一人ひとりが自分の成長やキャリアのために、自発的・積極的に学ぶ文化を醸成したい。
*   **制約条件:** 大きな予算はかけられない。日々の業務が忙しい中でも実践できる、現実的で具体的な施策を求めている。

## 依頼事項
現状の課題を解決し、目指す姿を実現するために、社員の「学びたい」という気持ちを内側から引き出すためのアクションプランを、以下の要素を盛り込んで立案してください。

### 提案に必ず含めるべき3つの観点
1.  **内発的動機付けを高める施策:** 社員の「成長したい」「貢献したい」「面白そう」といった内なる欲求に火をつけるためのアイデア。
2.  **学習を促進・支援する環境づくり:** 心理的安全性（失敗を恐れず挑戦できる雰囲気）、時間的・物理的支援など、学びやすい環境を整えるためのアイデア。
3.  **学習と実務・評価を結びつける仕組み:** 学んだことが無駄にならず、仕事の成果やキャリア、評価に繋がることを実感できるためのアイデア。

## 出力形式
*   上記3つの観点ごとに、具体的で明日からでも始められるアクションプランを3つ以上提案してください。
*   提案は以下の項目を立てて、表形式で分かりやすくまとめてください。
    *   **施策名:**（キャッチーで分かりやすい名前）
    *   **目的:**（この施策で何を目指すのか）
    *   **具体的な進め方:**（誰が、何を、どのように進めるか）
    *   **成功のためのポイント・注意点:**（導入時に特に意識すべきこと）
    *   **期待される効果:**
」"
,82,副業を禁止しているため、社員が社外で自分のスキルを試したり、新しい知識を実践的に学んだりする機会を奪っている。,副業を許可するには、就業規則の改定や情報漏洩のリスク管理など、検討に多くの時間がかかるため、一律で禁止している。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（副業禁止によるスキルアップ機会損失用） ▼▼▼
あなたは、中小企業の組織開発と人事制度に精通した経営コンサルタントです。私が経営する中小企業が抱える以下の課題について、具体的で実行可能な解決策を提案してください。

# 課題背景
当社では、情報漏洩や本業への集中阻害といったリスクを懸念し、就業規則で社員の副業を全面的に禁止しています。しかし、このルールが社員の成長機会を奪っているのではないかと危惧しています。特に、意欲の高い社員が社外で自分のスキルを試したり、新しい知識を実践的に学んだりする機会を失うことは、長期的な人材育成、エンゲージメント向上、そして人材定着の観点から大きな損失だと感じています。

# 依頼事項
この課題を解決するため、以下の2つの異なるアプローチから、体系的かつ具体的なアクションプランを提案してください。

### アプローチ1：副業禁止を維持したまま、社員のスキルアップ機会を代替・創出する施策
副業以外で、社員が実践的なスキルを習得し、自己成長を実感できるような制度やプログラムを提案してください。

### アプローチ2：リスクを管理しながら、条件付きで副業を解禁するための制度設計
本業への悪影響や情報漏洩などのリスクを最小限に抑えつつ、社員の成長を後押しする「条件付き副業許可制度」の具体的な設計案を提案してください。

# 出力形式のルール
*   上記2つのアプローチそれぞれについて、複数の具体的な施策を提案してください。
*   各施策は、以下の項目を立てて、箇条書きで分かりやすく説明してください。
    *   **施策名:**
    *   **概要と目的:** (どのような施策で、何を狙うのか)
    *   **具体的なメリット:** (会社側・社員側双方の視点から)
    *   **導入のハードルと対策:** (考えられる障壁やリスク、それに対する具体的な対策)
    *   **導入に向けた最初のステップ:** (明日からでも始められる具体的な第一歩)
*   専門用語は避け、中小企業の経営者がすぐに理解し、行動を検討できるような平易な言葉で記述してください。
」"
,83,人事異動が、本人の意向やキャリアプランを無視して、会社の都合だけで決められてしまう。,人事異動を、本人のキャリアプランをヒアリングしながら決めると時間がかかるため、会社の都合（欠員補充など）が優先される。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（意に沿わない人事異動用） ▼▼▼
# 前提条件
あなたは、中小企業の内部事情と従業員のキャリア形成に深い知見を持つ、経験豊富なキャリアコンサルタントです。

# 依頼者の状況
私は中小企業に勤務しています。先日、人事異動の内示を受けましたが、それは私のキャリアプランやこれまでの経験、本人の意向を完全に無視した、会社の都合だけが優先されたものです。この決定に全く納得できず、仕事へのモチベーションが著しく低下しており、今後のキャリアに強い不安を感じています。

# 命令
この絶望的な状況を乗り越え、再び自分のキャリアの主導権を握るために、以下の5つのステップに基づいた、具体的で実行可能な戦略とアクションプランを提案してください。

1.  **冷静な現状分析フェーズ:**
    *   感情を一旦脇に置き、今回の人事異動の「メリット」と「デメリット」を客観的に洗い出すための思考フレームワークを提示してください。
    *   会社側がこの異動を決定した背景や狙いを、中小企業の文脈（人材不足、多能工化、後継者育成など）から推測できるパターンを複数挙げてください。

2.  **交渉準備・戦略フェーズ:**
    *   上司や人事担当者と面談する際に、自分の意向を感情的にならず、建設的かつ論理的に伝えるための「準備リスト」を作成してください。
    *   面談の場で使える、効果的な「会話の切り出し方」と「伝え方のトークスクリプト（例文）」を3パターン提案してください。その際、「完全に拒否する」「条件付きで受け入れる」「代替案を提示する」など、複数のゴールを想定してください。

3.  **マインドセット転換フェーズ:**
    *   万が一、異動が覆らない場合に、この経験を自身の成長とキャリアの糧に変えるための「思考法」と「心構え」を具体的に教えてください。
    *   新しい部署で早期に信頼を獲得し、成果を出すための「最初の30日間でやるべきことリスト」を提案してください。

4.  **キャリア再設計フェーズ:**
    *   この異動経験を、自分の中長期的なキャリアプランにどのように組み込み、修正していくべきか、具体的なアドバイスをください。
    *   今回の経験を通じて新たに獲得できるスキルや視点を特定し、それを将来のキャリア（社内での昇進、または転職市場）でどのようにアピールできるかを説明してください。

5.  **具体的なアクションプラン:**
    *   上記1〜4を踏まえ、私が「今日から1週間以内」に取るべき行動を、時系列で具体的なTo-Doリストとして提示してください。

# 出力形式
*   各ステップ（1〜5）を見出しとして明確に分けてください。
*   専門用語は避け、中小企業で働くビジネスパーソンがすぐに理解し、行動に移せるような、実践的で共感的な言葉遣いで回答してください。
」"
,84,社員の「やりたい」という気持ちよりも、「できるかどうか」という過去の実績ばかりが重視される。,社員の「やりたい」という気持ちを尊重し、新しい挑戦を任せるには、管理職のサポートに多くの時間が必要となる。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社員の意欲より実績重視用） ▼▼▼
あなたは、中小企業の組織開発を専門とする経験豊富な経営コンサルタントです。
私が勤務する中小企業が抱える以下の課題について、現状を打破し、会社を成長させるための具体的なアクションプランを提案してください。

# 課題状況
私の会社では、新しいプロジェクトや業務改善の提案が出た際、社員の「やりたい」という意欲やポテンシャルよりも、「過去に実績があるか」「確実に成功できるのか」という確実性ばかりが重視される傾向が強いです。
その結果、以下のような問題が起きています。
- 若手や中堅社員が挑戦的なアイデアを出すことを躊躇してしまう。
- 斬新な企画が出なくなり、事業がマンネリ化している。
- 社員のモチベーションが低下し、指示待ちの雰囲気が蔓延している。

# あなたへの依頼事項
この「実績偏重・減点主義」の文化を、社員の挑戦を後押しする「挑戦奨励・加点主義」の文化へと転換させるための、具体的で説得力のある提案書を作成してください。
提案書には、以下の要素を必ず含めてください。

1.  **現状分析とリスクの提示**
    - 「実績偏重」文化が、会社の中長期的な成長にどのような悪影響（リスク）を及ぼすのかを、論理的に3つ挙げてください。（例：イノベーションの枯渇、人材流出、市場変化への対応遅延など）

2.  **目指すべき組織文化の定義**
    - 私たちが目指すべき「挑戦を奨励する文化」とは具体的にどのようなものか、その定義と、その文化がもたらすメリットを明確に示してください。

3.  **具体的なアクションプラン（3ステップ）**
    - **ステップ1：小さな成功体験を積む「パイロット制度」の提案**
        - リスクを最小限に抑えつつ、社員の挑戦を促すための具体的な制度設計を提案してください。（例：予算・期間を限定した「チャレンジ公募制度」、失敗しても評価が下がらない「サンドボックス」期間の設定など）
    - **ステップ2：挑戦を評価する「人事評価制度」の見直し案**
        - 現在の評価制度に、どのような項目を追加・変更すれば、結果だけでなくプロセスや挑戦した姿勢そのものを評価できるようになるか、具体的な評価項目の例を3つ挙げてください。
    - **ステップ3：経営層・管理職を巻き込むための「コミュニケーションプラン」**
        - この改革の必要性を経営層や管理職に理解してもらい、協力を得るための具体的な説得方法や、説明会で話すべき要点をまとめてください。特に、懸念されがちな「失敗が増えるのではないか」「収益性が悪化するのではないか」という不安に対する、説得力のある回答を準備してください。

4.  **導入後の期待効果**
    - この提案が実行された場合、1年後に会社や社員にどのようなポジティブな変化が期待できるか、具体的に描写してください。
」"
"F. 知識の属人化と共有不足 編

（特定の個人のスキルやノウハウが、組織全体の資産として共有・継承されず、組織学習が進まない状況）
",85,特定のベテラン社員の頭の中にしか業務ノウハウがなく、その人が休暇を取ったり、退職したりすると、業務が完全にストップしてしまう。,特定のベテラン社員に業務ノウハウが集中しているが、その人が忙しすぎて、知識を若手に共有・継承する時間を全く取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（ベテラン社員への業務ノウハウの属人化用） ▼▼▼

# 役割
あなたは、中小企業の業務改善を専門とする、経験豊富な経営コンサルタントです。特に、業務の属人化解消とナレッジマネジメントの仕組み構築において、数多くの成功実績を持っています。

# 背景
私が所属する中小企業では、特定のベテラン社員（Aさんとします）に長年の経験に基づく業務ノウハウが集中しており、業務が完全に「属人化」しています。Aさんの頭の中にしか情報がなく、マニュアルなども存在しません。そのため、Aさんが休暇を取ったり、急に退職したりすると、関連業務が完全にストップしてしまうという、非常に大きな経営リスクを抱えています。私たちはこの状況を脱却し、誰でも一定の品質で業務を遂行できる体制を構築したいと考えていますが、何から手をつければよいか分からず困っています。

# 命令
上記の背景を踏まえ、ベテラン社員Aさんに依存している業務の「属人化」を解消するための、具体的で実行可能なアクションプランを立案してください。

# 条件
- 予算や人員が限られている中小企業でも、すぐに着手できる現実的な内容にしてください。
- アクションプランは【短期（1ヶ月以内）】【中期（3ヶ月〜半年）】【長期（1年〜）】の3つのフェーズに分けて、時系列で示してください。
- 各フェーズのアクションについて、以下の項目を網羅した表形式で分かりやすく整理して出力してください。
  - **ステップ名:**
  - **目的:**
  - **具体的なアクション内容:**（誰が、何を、どのように行うか）
  - **成功のポイント/注意点:**
  - **推奨ツール例:**（無料で使える、または低コストのツールを具体的に挙げる）
」"
