カテゴリ,番号,,想定シーン,プロンプト本文
,79,問い合わせがあった際に、「何を見てお電話いただけましたか？」と顧客に一言聞くという簡単な効果測定すら、社内で徹底されていない。,問い合わせがあった際に、「何を見てお電話いただけましたか？」と一言聞くルールはあるが、忙しいとつい忘れてしまい、徹底できていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（問い合わせ時の効果測定の徹底用） ▼▼▼
# 命令書

あなたは、中小企業の組織改善とマーケティング戦略を専門とする超一流のコンサルタントです。
以下の課題について、原因を深掘り分析し、明日から実行できる具体的で網羅的な解決策を提案してください。

## 相談したい課題
私が所属する中小企業では、電話での問い合わせ時に「何をご覧になってお電話いただけましたか？」と広告効果を測定するための一言を尋ねるルールがあります。しかし、こんなに簡単なことなのに、なぜか従業員に全く徹底されず、聞き忘れが多発して形骸化している状況です。

## あなたに実行してほしいこと
この課題を根本から解決するため、以下の4つのステップで、具体的かつ実践的なアクションプランを提案してください。

###ステップ1：原因の多角的な分析
なぜこの「簡単な一言」が徹底されないのか、考えられる原因を以下の3つの視点から、具体的かつ深く分析してください。
*   **【従業員の心理的要因】**: (例: 忘れてしまう、聞くのが気まずい、業務の優先度が低いと思っている、重要性を理解していない など)
*   **【組織・環境的要因】**: (例: 忙しくて聞く余裕がない、誰もチェックしない文化、上司が率先していない、評価制度と無関係 など)
*   **【仕組み・ツールの要因】**: (例: 聞いた後の記録が面倒、トークスクリプトがない、そもそも記録する場所が定まっていない など)

### ステップ2：原因に対応した具体的な解決策
ステップ1で分析した原因のそれぞれに対して、「意識を変えろ」といった精神論ではなく、誰でも行動に移せるレベルの具体的な解決策を複数提案してください。

### ステップ3：そのまま使えるトークスクリプト集
お客様に不快感を与えず、自然に聞き出せる会話の流れとトークスクリプトを、以下の3パターン作成してください。
*   A. 最も丁寧な基本パターン
*   B. 簡潔で聞きやすいパターン
*   C. お客様が急いでいそうな状況で使える最短パターン

### ステップ4：行動を定着させる仕組みづくり
この取り組みを文化として根付かせるための、楽しくて継続できる仕組みのアイデアを提案してください。
*   **【ポジティブな動機付け】**: スタッフが「やろう！」と思えるような、ゲーミフィケーションの要素を取り入れたアイデアや、ささやかなインセンティブの例。
*   **【シンプルな進捗管理】**: 誰でも簡単に実施状況を記録・共有でき、一目で成果がわかるような管理方法（例：チェックシート、共有スプレッドシートのテンプレート案など）。

## 出力形式のルール
*   専門用語を避け、誰にでも理解できる平易な言葉で説明してください。
*   各ステップを見出しで明確に区切り、箇条書きや表を活用して、視覚的に分かりやすく構成してください。
*   提案する解決策や仕組みは、すぐに実践できるレベルまで具体的に記述してください。
」"
,80,複数の施策の中で、どれが一番効果的だったのかが分からないため、予算をどこに集中投下すべきか判断できない。,複数の施策の効果を比較・分析する時間がなく、どの施策に予算を集中投下すべきかの、データに基づいた判断ができていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（複数施策の効果測定と予算配分用） ▼▼▼

#役割
あなたは、中小企業の限られたリソースを最大限に活用するための助言を行う、経験豊富なデータアナリスト兼経営コンサルタントです。

#背景
私たちは複数のマーケティング施策を実施しましたが、どの施策が最終的な目標達成に最も貢献したのかを明確に把握できていません。そのため、次回の予算をどこに集中投下すべきか、データに基づいた客観的な判断を下したいと考えています。

#依頼事項
以下の【】内に入力された情報に基づいて、次のステップで分析と具体的な提言を行ってください。

1.  **効果測定:** 各施策のROI（投資収益率）やCPA（顧客獲得単価）など、コストパフォーマンスを測るための主要な指標を算出してください。
2.  **比較分析:** 算出した指標を元に、どの施策が最も効果的だったかをランキング形式で示し、その結論に至った理由を論理的に説明してください。
3.  **要因考察:** 最も効果的だった施策の成功要因と、逆に効果が低かった施策の改善点を推測してください。
4.  **予算配分案:** 上記の分析を踏まえ、次回の予算をどのように配分すべきか、具体的なアクションプランを以下の3つのパターンで提案してください。各プランのメリットとデメリットも併記してください。
    *   **プランA：集中投下プラン**（最も効果のあった施策に予算を集中させる）
    *   **プランB：最適化プラン**（効果の高かった施策の予算を増やし、低かった施策の予算を減らす）
    *   **プランC：挑戦的プラン**（効果の高かった施策を軸にしつつ、余剰予算で新たなテスト施策を行う）

#入力情報
以下の`【】`の中に、あなたの状況を具体的に入力してください。不明な点は「不明」と記述して構いません。

*   **最終的な目標(KGI):** 【例：新規顧客からの売上を3ヶ月で500万円達成する】
*   **分析対象期間:** 【例：2024年1月1日～3月31日】

---
### 施策1
*   **施策名:** 【例：リスティング広告】
*   **投下コスト:** 【例：50万円】
*   **得られた成果(KPI):** 【例：広告経由の売上200万円、獲得顧客数40名】
---
### 施策2
*   **施策名:** 【例：SNSキャンペーン】
*   **投下コスト:** 【例：30万円】
*   **得られた成果(KPI):** 【例：キャンペーン経由の売上80万円、獲得顧客数50名、新規フォロワー2000人】
---
### 施策3
*   **施策名:** 【例：展示会出展】
*   **投下コスト:** 【例：70万円】
*   **得られた成果(KPI):** 【例：獲得名刺300枚、その後の商談化20件、受注による売上250万円、獲得顧客数15名】
---
### （必要であれば施策4以降も同様に追記してください）

#出力形式
*   上記の依頼事項1～4の項目立てに沿って、専門用語には簡単な解説を加えながら、分かりやすく整理して回答してください。
*   中小企業の経営者が明日からすぐに行動を検討できるような、具体的で実践的な内容を期待します。
」"
,81,広告代理店や制作会社に「お任せします」と丸投げしており、自社で成果を判断する基準を持っていない。,広告代理店や制作会社に「お任せ」にしているが、その成果を自社で判断するための基準作りや、定例会に時間を割けていない。,エラーが発生しました。詳細はログを確認してください。
,82,施策の振り返り会議が、担当者の「頑張りました」という感想報告会になっており、データに基づいた議論がなされない。,施策の振り返り会議が、担当者の感想報告で終わりがちで、データに基づいた、時間のかかる深い議論ができていない。,エラーが発生しました。詳細はログを確認してください。
,83,過去の成功体験が忘れられず、効果が薄れてきているにも関わらず、同じ施策を惰性で続けている。,効果が薄れてきていると感じつつも、新しい施策を検討する時間がないため、惰性で同じ施策を続けている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（過去の成功体験への固執用） ▼▼▼

# 指示
あなたは、中小企業の組織変革とイノベーションを専門とする、非常に優秀なビジネスコーチです。
私が直面している以下の【状況】を深く理解し、思考を整理し、具体的な次の一歩を踏み出すための徹底的な壁打ち相手になってください。

# あなたへの期待
単なる一般論ではなく、私が「自分ごと」として捉え、明日から行動に移せるような、具体的で実践的なアドバイスを、以下のステップに沿って、対話形式で語りかけるように提供してください。

# 【状況】
私たちの会社には、過去に大きな成功を収めた「必勝パターン」とも言える施策があります。しかし、市場環境や顧客ニーズが変化したことで、その施策の効果は年々薄れてきています。データを見ても、現場の肌感覚でもそれは明らかです。
にもかかわらず、私たちはその成功体験が忘れられず、「昔はこれでうまくいったんだ」という思い込みから抜け出せません。新しい挑戦への漠然とした不安もあり、効果が薄れた施策を惰性で続けてしまっているという、深刻な「成功体験のジレンマ」に陥っています。

# 依頼事項
以下の3つのステップで、私の思考の壁打ちをお願いします。

### 【ステップ1】現状の直視と課題の構造化
1.  **客観的分析のための質問:** 私が現在の施策の「有効性」と「限界」を客観的に評価するための、鋭い質問を5つ投げかけてください。（例：市場、顧客、競合、代替技術などの観点から）
2.  **固執のメカニズム解明:** 私たちが「過去の成功体験」に固執してしまう心理的・組織的な要因を、チェックリスト形式で具体的に挙げてください。これにより、問題の根源を特定する手助けをしてください。
3.  **リスクの可視化:** 「現状維持を続けた場合」に起こりうる、3ヶ月後、1年後、3年後の具体的なリスクシナリオを、ストーリー形式で生々しく描写してください。

### 【ステップ2】思考の解放と新たな視点の獲得
1.  **ゼロベース思考への誘導:** 私たちを過去のしがらみから解放し、「もし今、ゼロから事業を始めるとしたら、顧客のどんな課題を解決するために、最初の一歩をどう踏み出すか？」という思考実験をさせてください。
2.  **成功要因の再定義:** 過去の成功を支えた要因を分解し、「今も価値を持つ普遍的な強み（アセット）」と「もはや通用しない時代遅れの戦術」に仕分けるためのシンプルなフレームワークを提示してください。

### 【ステップ3】実行可能な次の一手の具体化
1.  **アイデアの種まき:** ステップ2で見出した「普遍的な強み」を活かして、新しい施策のアイデアを生み出すための具体的な発想法を3つ提案してください。（例：「既存アセット × 新しい顧客層」「強みの水平展開」「異業種のビジネスモデルとの掛け合わせ」など）
2.  **小さく始める実験計画:** 新しいアイデアを、大きな失敗を恐れずに試すための「リーンな（無駄のない）実験計画」の立て方を、具体的なテンプレートを使いながら教えてください。最低限のコストと時間で仮説検証を行う方法が知りたいです。
3.  **最初の小さな一歩:** この壁打ちが終わった後、私がチームを巻き込み、新しい挑戦に向けて明日からすぐに実行できる「最初の小さな一歩（ベビーステップ）」を、行動心理学の観点も踏まえて3つ提案してください。

# 制約事項
- あなたは私のコーチとして、時に厳しく、しかし常に行動を促すポジティブな姿勢で語りかけてください。
- 抽象的な概念だけでなく、私が具体的にイメージできるような事例や比喩を多用してください。
」"
,84,マーケティング活動の成果が、短期的な売上だけでしか評価されず、ブランド価値の向上といった長期的な効果が無視される。,短期的な売上への貢献度は測りやすいが、ブランド価値の向上といった、測定に時間のかかる長期的な効果まで、手が回らない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（マーケティング活動の長短期的評価用） ▼▼▼
#役割
あなたは、数々の中小企業を成功に導いてきた、経験豊富なマーケティングコンサルタントです。特に、短期的な成果と長期的なブランド構築を両立させる戦略設計を得意としています。

#背景
私は中小企業で働くマーケティング担当者です。現在、私の会社ではマーケティング活動の成果が、広告の費用対効果（ROAS）やコンバージョン率（CVR）といった、ごく短期的な売上指標のみで評価されています。そのため、将来の会社の資産となるはずの「ブランド価値の向上」や「顧客ロイヤルティの育成」といった長期的な施策の重要性を経営層に理解してもらえず、予算を獲得するのに苦労しています。

#依頼
この状況を打開し、経営層を説得するために、以下の要素をすべて含んだ具体的な提案資料の草案を作成してください。

1.  **説得のための導入ロジック:**
    *   なぜ、短期的な売上指標だけを追い続けることにリスクがあるのか。
    *   なぜ、長期的なブランド価値への投資が、最終的に企業の持続的な成長と利益につながるのか。
    *   「顧客生涯価値（LTV）」や「競合優位性」の観点から、簡潔かつ論理的に説明してください。

2.  **新しい評価指標（KPI）の提案:**
    *   現在の短期的なKPI（例：ROAS, CVR, CPA）を「先行指標」と位置づける。
    *   新たに追加すべき長期的なKPIを「遅行指標」として、具体的な指標名を複数提案してください。（例：指名検索数、NPS、リピート率など）
    *   それぞれの指標について、「何を測るものか」「なぜ重要なのか」「どのように計測するのか（ツールや方法）」を分かりやすく表形式で整理してください。

3.  **マーケティング成果報告ダッシュボードの構成案:**
    *   上記で提案した「先行指標」と「遅行指標」を一枚にまとめ、マーケティング活動の全体像が直感的に把握できるような報告用ダッシュボードのレイアウト案を作成してください。
    *   どのようなグラフ（例：折れ線グラフ、棒グラフ、ゲージなど）をどこに配置すれば、経営層が一目で状況を理解できるか、具体的な項目を記述してください。

4.  **経営会議用の提案書アウトライン:**
    *   この提案を経営会議で発表するための、説得力のあるプレゼンテーションのアジェンダ（目次）を作成してください。発表時間15分を想定した構成にしてください。

#出力形式
*   専門用語には簡単な注釈を加えてください。
*   各項目は、見出しをつけて分かりやすく構造化してください。
*   全体を通して、専門家として経営者に語りかけるような、信頼感と熱意のあるトーンで記述してください。
」"
"F. リソース・ノウハウ不足 編

（マーケティング活動に必要な人・モノ・金・時間が足りない、または専門知識がない状況）
",85,マーケティング担当者が、総務や経理、営業事務と兼務しており、専門知識がないまま手探りで業務を行っている。,マーケティング担当者が複数業務を兼務しており、専門知識をインプットしたり、一つの施策を深く掘り下げたりする時間が足りない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（兼任マーケティング担当者用） ▼▼▼
# あなたへの役割付与
あなたは、中小企業の限られたリソース（人材、予算、時間）を深く理解している、非常に優秀なマーケティングコンサルタントです。特に、マーケティング未経験の兼任担当者に対して、専門用語を一切使わず、具体的で実践的なアドバイスをすることを得意としています。

# 私の状況
私は中小企業で、総務や営業事務など他の業務と兼務しながら、マーケティングを担当しています。マーケティングの専門知識や経験はほとんどなく、何から手をつければ良いか分からず困っています。使える予算も時間も限られています。

# 依頼事項
以下の【私（当社）の情報】を基に、明日からでも始められる、具体的で効果的なマーケティングのアクションプランを提案してください。

# 提案に含めてほしい項目
1.  **最優先で取り組むべきマーケティング施策3つ**（優先順位とその理由も明記）
2.  **各施策の具体的な進め方**（初心者でも分かるように、ステップ・バイ・ステップで解説）
3.  **各施策で使える無料または低コストのツール**
4.  **各施策の成功のポイントと、初心者が陥りがちな注意点**
5.  **施策の効果を測るための簡単な指標**

---

# 【私（当社）の情報】
*   **扱っている商品／サービス：** `（例：地域密着型のパン屋、BtoB向けの業務用ソフトウェア、オンラインの英会話教室など、具体的に記入してください）`
*   **ターゲット顧客：** `（例：30代の子育て中の女性、従業員50名以下の中小企業の経営者、英語学習に挫折した経験のある社会人など、具体的に記入してください）`
*   **現在行っていること（あれば）：** `（例：Instagramでたまに商品を投稿、知人からの紹介のみ、ウェブサイトはあるが更新していないなど）`
*   **一番の悩みや課題：** `（例：新規顧客が全く増えない、商品には自信があるが知られていない、Webサイトへのアクセスがないなど）`
*   **マーケティングに使える月間予算の目安：** `（例：0円、1万円、5万円など）`
」"
,86,Webサイトを少し修正したり、新しいページを追加したりしたいだけなのに、自社でできる人がおらず、常に外部の制作会社に依頼する必要があり、時間も費用もかかる。,Webサイトの簡単な修正やページ追加を、担当者が自分で行えるスキルを習得する時間がなく、常に外部に依頼せざるを得ない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（Webサイト更新の内製化用） ▼▼▼
# あなたへの役割設定
あなたは、中小企業のDX推進を支援する経験豊富なWebコンサルタントです。プログラミングなどの専門知識がない人にも理解できるように、専門用語を極力使わず、具体的で実践的なアクションプランを提案することを得意としています。

# 背景と課題
私は中小企業で働いており、自社のWebサイトに関して以下の課題を抱えています。
- Webサイトのテキスト修正、画像の差し替え、新しいお知らせページの追加といった軽微な更新作業ですら、社内にできる人材がおらず、都度外部の制作会社に依頼しています。
- そのため、依頼から反映までに時間がかかりスピーディーな情報発信ができない上、毎回決して安くない費用が発生しており、コスト負担が大きいです。
- この状況を根本から改善し、簡単な更新作業は自分たちで完結できる体制（内製化）を構築したいと考えています。

# 当社の情報
- 当社の事業内容：[ここに事業内容を簡潔に記入。例：東京都内で3店舗の飲食店を経営]
- 現在のWebサイトのシステム（CMS）：[もし分かれば記入。例：WordPress、Wix、不明など]
- 想定されるWebサイト担当者のITスキル：[例：PCの基本操作（Word, Excel）は問題ないが、Webの専門知識は全くない]
- 特に内製化したい作業の例：
  - [例1：今月のキャンペーン情報をトップページに掲載したい]
  - [例2：新しいメニューの紹介ページを追加したい]
  - [例3：ブログ記事を週に1回更新したい]
- 予算感：[例：初期投資はできるだけ抑え、月々のランニングコストも低くしたい]

# 命令
上記の情報を踏まえ、私たちがWebサイトの簡単な更新作業を内製化するための、具体的で実行可能な「アクションプラン」を、以下の構成でステップバイステップで提案してください。

1.  **現状分析と解決の方向性:**
    当社の状況から考えられる、最も現実的で効果的な内製化の方法を提案してください。

2.  **具体的なツールの提案と比較:**
    解決策の実現に必要なツールやサービスを複数挙げてください。それぞれの「メリット」「デメリット」「費用の目安」「初心者の習得しやすさ」を比較できるように、分かりやすく表形式で整理してください。

3.  **導入・学習の30日間ロードマップ:**
    提案したツールを導入し、担当者が基本的な操作（テキスト修正、画像更新、ページ追加）をマスターするための、具体的で現実的な学習計画を「1週目」「2週目」「3週目」「4週目」に分けて提案してください。おすすめのオンライン学習サイトや動画チュートリアルなども具体的に示してください。

4.  **内製化に伴うリスクと対策:**
    初心者が更新作業を行う際に起こりうる失敗（例：デザイン崩れ、操作ミスでページが消えるなど）と、その具体的な予防策や簡単な対処法を教えてください。

# 出力形式
- 全体を論理的で分かりやすい構成にしてください。
- 箇条書きや表を効果的に使用し、初心者でも一読してやるべきことが理解できるようにしてください。
」"
,87,魅力的な製品紹介動画や、顧客事例インタビュー動画を作りたいが、撮影も編集もできる社員がいないし、外注する予算もない。,魅力的な動画コンテンツを作りたいが、企画から撮影・編集まで、通常業務と並行して行う時間を捻出できない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（動画制作リソース不足用） ▼▼▼

#役割
あなたは、中小企業の限られたリソース（予算・人材・機材）を深く理解し、最小限のコストで最大限の効果を生む動画制作を支援する、経験豊富な動画マーケティングコンサルタントです。

#背景
私は中小企業で働いています。自社の製品やサービスの魅力を伝えるため、動画を制作したいと考えています。しかし、以下の深刻な制約があります。
- **スキル不足:** 撮影や編集の専門スキルを持つ社員が一人もいません。
- **予算不足:** 動画制作を外注する予算が全くありません。
- **機材不足:** 使用できる機材は基本的にスマートフォンのみです。

#命令
この絶望的な状況を打破するため、以下の情報を基に、専門知識ゼロの初心者でもスマートフォン1台で魅力的で効果的な動画を制作できる、具体的で実践的なアクションプランをステップバイステップ形式で提案してください。

---
### **【ユーザー入力欄】**

1.  **制作したい動画の種類:**
    【例：製品紹介動画、顧客インタビュー動画など、作りたい動画の種類を一つ記入】

2.  **動画で紹介したい製品/サービス名:**
    【製品・サービス名を具体的に記入】

3.  **製品/サービスの最も伝えたい魅力や強み (3つ):**
    - 【魅力1：顧客が抱えるどんな問題を解決できるか？】
    - 【魅力2：他社製品との決定的な違いは何か？】
    - 【魅力3：顧客が最も喜ぶポイントは何か？】

4.  **動画のメインターゲット層:**
    【例：30代の働く女性、DX化に悩む中小企業の経営者など、具体的に記入】

5.  **動画の最終目標 (視聴者にどんな行動をとってほしいか):**
    【例：製品サイトへのアクセス、問い合わせ、資料請求など】
---

#出力形式
上記【ユーザー入力欄】の情報を最大限に活用し、以下の5つの項目をすべて含んだ、網羅的な実行計画書を作成してください。

1.  **【コンセプトと構成案】**
    - ターゲットの心に刺さるキャッチーな動画タイトルを3案提案。
    - 視聴者を飽きさせない、約60秒の動画構成案（シナリオ）を以下の流れで具体的に作成。
        - **冒頭 (最初の5秒):** 視聴者の課題に共感し、一気に引き込むためのアイデア
        - **中盤 (35秒):** 紹介する魅力を1つに絞り、その価値をデモンストレーションやビフォーアフターで見せる方法
        - **終盤 (20秒):** 視聴者の感情に訴えかけ、具体的な行動（最終目標）へとスムーズに誘導するメッセージ（CTA）

2.  **【スマホ撮影テクニック】**
    - 予算ゼロでもプロっぽく見せるための、基本的な撮影のコツを5つ解説。（例：手ブレ防止策、自然光の活かし方、魅力的な構図、音声のクリアな録音方法など）
    - 上記の構成案に沿って、「どのシーンを」「どんなアングルで」「どのように撮影すればよいか」を具体的に指示。

3.  **【セリフ・ナレーション台本】**
    - 上記の構成案でそのまま使える、親しみやすく分かりやすいセリフとナレーションの台本を作成。

4.  **【無料編集アプリ活用術】**
    - 初心者でも直感的に使える、完全無料のスマートフォン用動画編集アプリを2つ厳選し、それぞれの長所・短所を比較した表を作成。
    - 以下の基本編集作業を、選んだアプリで実行するための手順を分かりやすく解説。
        - 不要な部分のカット
        - 注目させたい部分へのテロップ（字幕）挿入
        - 動画の雰囲気を決めるBGMの追加（著作権フリーの優良音源サイトも紹介）

5.  **【クオリティ向上の一工夫】**
    - 完成した動画の魅力をさらに引き上げるための、簡単ですぐに真似できる追加アイデアを3つ提案。（例：効果音の使い方、目を引くサムネイルの作り方など）
」"
,88,プレスリリースを書きたいが、書き方が分からないし、配信先のメディアリストも持っていない。,プレスリリースを書きたいが、配信先のメディアリストを作成したり、各メディアに合わせたアプローチを考えたりする時間がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（プレスリリース作成用） ▼▼▼
あなたは、中小企業の広報・PR活動を支援する非常に優秀な専門家です。

以下の【基本情報】を元に、メディア関係者が記事にしたくなるような魅力的なプレスリリースのドラフトと、そのプレスリリースの配信先として最適なメディアリスト案を作成してください。

---

**【基本情報】**
*   **会社名:** [ここに会社名を入力してください]
*   **事業内容:** [ここに簡単な事業内容を入力してください]
*   **発表したいこと（新商品・新サービス・イベント・業務提携など）:** [発表したい内容を具体的に入力してください]
*   **その特徴や新規性（一番のウリや他社との違い）:** [競合と比較した際の優位性や、新しい点を分かりやすく入力してください]
*   **開発の背景や社会的な意義（なぜこれを発表するのか）:** [顧客のどんな課題を解決するのか、社会にどう貢献できるのかを入力してください]
*   **ターゲット顧客層:** [どんな人にこのニュースを届けたいかを入力してください]
*   **発表日:** [YYYY年MM月DD日]
*   **問い合わせ先情報（部署名、担当者名、電話番号、メールアドレス）:** [ここに広報担当者の情報を入力してください]

---

**【作成を依頼する成果物】**

**1. プレスリリースドラフト**
以下の構成で、分かりやすく、魅力的な文章を作成してください。
*   **件名案（3つ提案）:** 記者の目を引き、クリックしたくなるようなキャッチーなタイトル。
*   **リード文:** 発表内容の要点（5W1H）を簡潔にまとめたもの。
*   **本文:** 【基本情報】で提供した内容を深掘りし、ストーリー性を持たせた文章。
*   **会社概要:** テンプレートとしてすぐに使える形式。
*   **問い合わせ先:** テンプレートとしてすぐに使える形式。

**2. 配信先メディアリスト案**
発表内容とターゲット顧客層を考慮し、最も効果的だと思われるメディアを15個提案してください。
以下の表形式で出力してください。
| カテゴリ（例：ビジネス総合、IT専門、地方紙など） | メディア名 | 特徴・アプローチすべき理由 |
」"
,89,広告運用、SEO、SNS運用など、それぞれの分野で専門知識が必要なのに、一人の担当者がすべてを片手間でやろうとして、どれも中途半端になる。,広告運用、SEO、SNS運用といった各専門分野を、一人の担当者が通常業務の合間に手探りで学んでおり、体系的な知識習得ができていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（Webマーケティング担当者の業務整理用） ▼▼▼
# 役割
あなたは、中小企業の限られたリソース（人、時間、予算）を最大限に活用するための戦略を立案する、経験豊富なWebマーケティングコンサルタントです。

# 背景
私は中小企業でWebマーケティングを担当していますが、広告運用、SEO、SNS運用など複数の専門業務を一人で兼務しており、すべてが中途半端な状態です。リソースが限られている中で、何から手をつければ良いか分からず困っています。

# 私の状況
・事業内容：[例：ECサイトでのオリジナル雑貨販売]
・最終的なビジネス目標：[例：オンラインでの売上を3ヶ月で30%向上させる]
・担当業務と現状：
  - 広告運用：[例：Google広告とInstagram広告を月5万円で出しているが、設定が自己流でCPAが高い]
  - SEO：[例：ブログ記事を月に2本書いているが、キーワード選定が曖昧で検索流入がほとんどない]
  - SNS運用：[例：Instagramを毎日投稿しているが、「いいね」は付くものの売上に繋がっている実感がない]
  - その他：[例：メルマガ配信を不定期で行っている]
・利用可能なリソース：
  - 私のWebマーケティング業務への稼働時間：[例：週に15時間程度]
  - 業務に使える月間予算（広告費やツール代など）：[例：10万円]

# 命令
上記の状況を踏まえ、私が明日から実行できる「選択と集中」のための具体的かつ現実的なアクションプランを、以下のフレームワークに従って提案してください。

1.  **【最重要課題の特定】**
    現在の状況で、ビジネス目標達成を最も妨げているボトルネックは何かを3つ、優先度の高い順に指摘してください。

2.  **【短期アクションプラン（最初の1ヶ月）】**
    限られたリソースの中で、最もROI（投資対効果）が高いと考えられる施策を**2つだけ**に絞り込み、具体的なステップを箇条書きで示してください。同時に、この1ヶ月間は「やらないこと」も明確にリストアップしてください。

3.  **【中長期的なロードマップ（3ヶ月後まで）】**
    短期プランで成果が出た後、次に取り組むべき施策の優先順位と、その進め方を提案してください。必要であれば、どの業務を外部リソース（安価なツール、フリーランスなど）に任せるべきかについても言及してください。

4.  **【成果測定のためのKPI】**
    提案したプランの成果を正しく評価するために、私が毎週必ずチェックすべき最も重要な指標（KPI）を3つ提案してください。
」"
,90,最新のマーケティングトレンドやツールについて学ぶ機会がなく、知識が数年前で止まっている。,最新のマーケティングトレンドやツールについて、セミナーに参加したり、書籍を読んだりする時間を業務時間内に確保できない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（最新マーケティング知識のアップデート用） ▼▼▼
# 指示
あなたは、中小企業の限られたリソース（予算、人材、時間）を深く理解している、非常に優秀なマーケティングコンサルタントです。
私は中小企業で働く担当者ですが、日々の業務に追われ、最新のマーケティングトレンドやツールに関する知識が数年前で止まってしまっていることに強い危機感を抱いています。

この状況を打開するため、以下の要件を満たす「最新マーケティング知識のアップデートプラン」を、具体的かつ実践的な形式で提案してください。

# 要件
1.  **最重要トレンドの解説:**
    *   現在、中小企業が絶対に押さえておくべきマーケティングトレンドを3〜5つ、優先順位の高い順に挙げてください。
    *   各トレンドについて、「なぜ重要なのか」「中小企業にとってどんなメリットがあるのか」を初心者にも理解できるように分かりやすく解説してください。

2.  **具体的なツール紹介:**
    *   上記のトレンドを実践するために役立つ、無料で始められる、または低コストで導入可能な具体的なツールを2〜3つ紹介してください。
    *   ツールの名称、主な機能、料金体系（無料プランの有無など）、中小企業での活用イメージを簡潔にまとめてください。

3.  **明日からできるアクションプラン:**
    *   私が明日からすぐに取り組める、具体的で小さなステップ（ベイビーステップ）を3つ提案してください。
    *   例：「まず〇〇というツールのアカウントを無料登録してみる」「〇〇に関するYouTubeチャンネルを1本見る」など、心理的ハードルが低いものにしてください。

4.  **効率的な学習方法:**
    *   今後、継続的に最新情報をキャッチアップしていくための、効率的な学習方法やおすすめの情報源（Webサイト、SNSアカウント、ニュースレターなど）をいくつか教えてください。

# 出力形式
*   全体を箇条書きで構成し、専門用語には簡単な注釈を付けてください。
*   堅苦しい表現は避け、私に語りかけるような、親しみやすくモチベーションが上がるトーンでお願いします。

それでは、あなたからの最高の提案をお待ちしています。
」"
,91,デザインセンスのある社員がおらず、作るチラシや資料が、どこか素人っぽく、安っぽい印象を与えてしまう。,デザインツールを学ぶ時間がないため、パワーポイントなどで作った、素人っぽいデザインの販促物で妥協せざるを得ない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（素人っぽいデザインの改善用） ▼▼▼
#役割
あなたは、中小企業向けにデザインのアドバイスを行う経験豊富なアートディレクターです。デザインの専門知識がない人にも、論理的かつ分かりやすく、すぐに実践できる改善策を提案することを得意としています。

#依頼内容
私たちが作成するチラシや資料が、どうしても「素人っぽい」「安っぽい」印象になってしまいます。以下の情報をもとに、デザインをプロフェッショナルで信頼感のある印象に劇的に改善するための、具体的で実践的なアドバイスをしてください。

#デザイン対象の情報
*   **作成物の種類**: [例：新商品発売のA4チラシ、採用説明会のスライド資料、会社の三つ折りパンフレットなど]
*   **ターゲット顧客**: [例：地域の高齢者、IT企業の若手エンジニア、子育て中の30代女性など]
*   **デザインの目的・最も伝えたいメッセージ**: [例：新商品の魅力を伝え、来店を促すこと。「手軽に始められる」という安心感。]
*   **現在のデザインで特に課題だと感じている点**: [例：ごちゃごちゃして見える、どの情報が重要か分からない、使っている色が安っぽい気がする。]

#アウトプットの形式と条件
1.  まず、課題を解決するためのデザインコンセプトを一行で提案してください。
2.  次に、「配色」「フォント（書体）」「レイアウトと余白」「画像やイラストの使い方」の4つの観点から、改善すべきポイントと具体的な改善案を、表形式で分かりやすくまとめてください。表には「観点」「現状の問題点（推測）」「具体的な改善策」「改善による効果」の4項目を含めてください。
3.  デザインの4大原則（近接・整列・反復・対比）に触れながら、なぜその改善が必要なのかを初心者にも理解できるように解説してください。
4.  最後に、このアドバイスを元に、デザインを改善した場合の完成イメージを、ありありと情景が浮かぶように文章で描写してください。
」"
