カテゴリ,番号,,想定シーン,プロンプト本文
,83,良い製品やサービスさえ提供していれば、ブランドは自然に形成されるもので、意図的に構築するものではないと考えている。,意図的にブランドを構築するという発想がなく、日々の業務に追われる中で、結果としてブランドが形成されていくのに任せてしまっている。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（良い製品やサービスさえ提供していれば、ブランドは自然に形成されるもので、意図的に構築するものではないと考えている用） ▼▼▼
#役割
あなたは、中小企業のリアルな悩みに精通した、経験豊富なブランドコンサルタントです。専門用語は一切使わず、情熱的かつロジカルに、対話するような口調でアドバイスをしてください。

#背景
私は中小企業の関係者です。社内には「良い製品やサービスさえ提供していれば、ブランドは自然に形成される。意図的に時間やコストをかけて構築するものではない」という考えが根強くあります。この考えは、私たちの成長の足かせになっているかもしれません。

#命令
この「製品至上主義」とも言える考えを持つ私たちに対して、その考えの危険性と、意図的なブランド構築がいかに重要で、ビジネスを加速させる強力な武器になるかを納得させてください。以下の構成で、私たちの心に火をつけ、明日からの行動を変えるきっかけとなるような、説得力のあるアドバイスを生成してください。

#出力構成
1.  **共感と核心的な問いかけ:**
    まず、「良いモノづくりへの情熱、本当に素晴らしいですね！」と私たちのプライドを肯定的に受け止めてください。その上で、「しかし、もしその『こだわり』がお客様に全く伝わっていなかったとしたら？ もし、競合が少し品質の劣る製品を『魅力的なストーリー』と共に売り出し、お客様を奪っていったらどうしますか？」と、核心を突く問いを投げかけてください。

2.  **物語で学ぶ「ブランドの有無」が分けた運命:**
    以下の2つの架空の中小企業の対照的なショートストーリーを、臨場感たっぷりに創作してください。
    *   **A社（技術は一流、ブランドは三流）:** 最高の技術で素晴らしい部品を作るが、その価値を伝える努力を怠ったため、常に買い叩かれ、価格競争に巻き込まれ、やがて後発の競合に市場を奪われていく悲劇の物語。
    *   **B社（技術はA社並み、ブランドは超一流）:** A社と同じ品質の部品を作るが、創業時から自社の製品が「誰のどんな未来を幸せにするのか」というストーリーを語り続け、ファンを増やし、指名買いされる存在となり、価格決定権を握って安定成長を遂げる成功の物語。

3.  **「もったいない！」を解消するブランドの力:**
    A社とB社の物語を踏まえ、「皆さんの会社が時間と情熱を注いで生み出した製品やサービスの価値が、正しく伝わらないのは『非常にもったいない』ことだ」と力強く訴えかけてください。そして、意図的なブランド構築がもたらす以下の具体的なメリットを、箇条書きで分かりやすく説明してください。
    *   価格競争からの脱却（「安さ」ではなく「価値」で選ばれる）
    *   顧客ロイヤルティの向上（ファンになり、リピートし、紹介してくれる）
    *   採用力の強化（「この会社で働きたい」と共感する人材が集まる）
    *   社員の士気と誇りの向上（自分たちの仕事の意味を再認識できる）

4.  **明日からできる「ブランド構築」はじめの一歩:**
    大企業のような莫大な予算がなくても、私たちのような中小企業が明日からすぐに着手できる、具体的で簡単なアクションプランを3つだけ提案してください。
    *   例1：「私たちは何屋か？」ではなく「私たちは、誰を、どう幸せにする集団か？」を一行で言語化してみる。
    *   例2：お客様からいただいた「感謝の声」を一つ選び、その背景にあるストーリーを全社員で共有する。
    *   例3：自社のロゴやWebサイトを5秒だけ見て、「らしさ」が伝わるか客観的に議論してみる。

5.  **最後の一押しメッセージ:**
    「ブランドとは、ロゴや名前のことではありません。『お客様との揺るぎない約束』そのものです。さあ、皆さんの素晴らしい製品に、魂のこもった『約束』という名の旗を立てましょう！」というような、私たちの背中を強く押す、情熱的なメッセージで締めくくってください。
」"
,84,業界団体が定めたデザインや呼称のルールに、思考停止で従っている。,業界団体のルールに従う方が、自社独自の表現をゼロから考えるよりも時間的コストが低いため、思考停止に陥りがち。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（業界ルールの思考停止用） ▼▼▼
#役割
あなたは、数々の中小企業の変革を支援してきた、鋭い視点を持つ経営コンサルタントです。特に、業界の古い慣習にとらわれず、顧客視点で独自の価値を創造するブランディング戦略の専門家です。

#目的
私が思考停止に陥っている状況を打破し、現状を批判的に分析し、具体的で実行可能な新しいアクションプランを策定するための壁打ち相手になること。

#状況
以下の情報に基づいて、私との対話を開始してください。

*   **私たちの業界**: `[ここに業界名を入力。例：印刷業、菓子製造業]`
*   **私たちの商品/サービス**: `[ここに具体的な商品やサービス名を入力。例：名刺印刷、〇〇まんじゅう]`
*   **思考停止で従っているルール**: `[ここに「〇〇という呼称を使わなければならない」「デザインは〇〇のような形式にする」などの具体的なルールを入力]`
*   **そのルールに従っている理由**: `[ここに「昔から決まっているから」「業界団体に言われているから」「他社も皆そうしているから」などの理由を入力]`

#命令
上記の状況を踏まえ、以下のステップで私に質問を投げかけ、思考を深める手助けをしてください。一度に全てのステップを実行するのではなく、まずステップ1から始めて、私の回答を待ってから次のステップに進む、という対話形式でお願いします。

**ステップ1：【現状の深掘りと問題提起】**
*   そのルールが作られたであろう「歴史的背景」や「本来の目的」をあなたの専門家としての視点で推察してください。
*   その上で、「そのルールは、現在の顧客にとって本当に価値がありますか？」「そのルールを守り続けることで、あなたの会社が失っている最大の機会損失は何だと思いますか？」と、私に鋭く問いかけてください。

**ステップ2：【視点の強制転換】**
*   私の回答を受けてから、「では、視点を変えましょう。もしあなたが、潤沢な資金を持つ異業種からの新規参入者だとしたら、この形骸化したルールを逆手にとって、どのように市場を奪いますか？具体的な戦略を3つ考えてみてください」と質問してください。

**ステップ3：【具体的アイデアの創出】**
*   私の回答を受けてから、「素晴らしい視点です。そのアイデアを基に、現状のルールを打破する、顧客が本当に喜ぶであろう新しいデザインや呼称の具体的な代替案を、コンセプトが異なるものを5つ、大胆に提案してください」と指示してください。

**ステップ4：【実行計画への落とし込み】**
*   私が提案されたアイデアの中から一つ選んだら、「良いですね。では、そのアイデアを明日から実行できる『超スモールステップ』に分解しましょう。誰にも反対されず、低コストで試せる最初の具体的な一歩は何ですか？」「その小さなテストで、何を検証すべきですか？」と質問し、実行を促してください。

それでは、コンサルティングを開始してください。最初のステップ1の質問からお願いします。
」"
"F. 属人的なブランド管理 編

（ブランドが特定の個人（特に創業社長）のカリスマ性やセンスに依存しすぎて、組織としての管理体制や再現性ができていない状況）
",85,会社のブランドイメージが、良くも悪くも創業社長個人のキャラクターに依存しすぎている。,会社のブランドイメージが創業社長個人に依存しているが、その「らしさ」を、次世代が継承できるような言語化・仕組み化に時間をかけられていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（会社のブランドイメージが創業社長に依存用） ▼▼▼

#役割
あなたは、中小企業のブランド戦略を専門とする、経験豊富な経営コンサルタントです。

#背景
私の会社は中小企業で、ブランドイメージが良くも悪くも創業社長個人の強力なキャラクターに大きく依存しています。顧客や取引先からは「〇〇社長の会社」として認識されており、それが強みである一方、事業承継や社長の不在時、万が一の不祥事などを考えると、大きな経営リスクだと感じています。

#命令
社長個人のキャラクターという現在の強みを完全に否定するのではなく、それを活かしながら、属人性を脱却し、企業・組織としての強固なブランドを構築するための、具体的で実行可能な戦略とアクションプランを、以下のステップに従って体系的に提案してください。

#ステップ
1.  **現状分析:** この状況がもたらす「メリット」と「デメリット（潜在的リスクを含む）」を、対比させた表形式で整理してください。
2.  **戦略の方向性:** 社長の持つ哲学や価値観を、企業の普遍的な「ミッション・ビジョン・バリュー」に昇華させるための具体的なアプローチを3つ提案してください。
3.  **具体的な施策:** 「社長ブランド」から「企業ブランド」へ移行するための具体的な施策を、以下の3つの観点から、それぞれ複数提案してください。
    *   **アウターブランディング（対外的な発信）:**
        *   例：社長以外の社員や若手エースを主役にしたストーリーテリング、Webサイトや会社案内のコンテンツ刷新、SNSアカウントの運用方針変更など。
    *   **インナーブランディング（社内への浸透）:**
        *   例：理念浸透のための研修プログラム、評価制度との連動、社内報やイントラネットでの発信強化など。
    *   **事業・サービスブランディング:**
        *   例：商品・サービスの開発ストーリーに企業の理念を反映させる方法、顧客体験（CX）のデザイン見直しなど。
4.  **ロードマップ:** 上記施策を実行するためのアクションプランを、「短期（〜6ヶ月）」「中期（〜2年）」「長期（3年以上）」に分けたロードマップとして提示してください。
5.  **成功のための注意点:** この取り組みを進める上で、創業社長や古参社員の協力を得ながら、失敗を避けるための重要な注意点を箇条書きで3〜5つ挙げてください。

#出力形式
*   専門用語は避け、中小企業の経営者がすぐに理解し、行動に移せるような平易な言葉で説明してください。
*   あなたの思考プロセスや前置きは不要です。すぐに提案を開始してください。
」"
,86,社長がメディアに出たり、SNSで発信したりすることは積極的だが、他の社員が会社の顔として発信する機会がない。,社長以外の社員が、会社の顔として社外に情報発信する機会を創出したいが、そのためのコンテンツ準備やトレーニングに時間がかけられない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社員による情報発信の機会創出用） ▼▼▼

#役割
あなたは、中小企業の組織ブランディングと広報戦略を専門とする、経験豊富な経営コンサルタントです。

#背景
私が所属する中小企業は、社長がメディア露出やSNS発信に非常に積極的です。そのおかげで会社の知名度は上がっていますが、その反面、社長以外の社員が会社の顔として情報発信をする機会が全くありません。この「社長ワンマン広報」状態は、事業継続のリスクや採用力の低下、社員のエンゲージメント低下に繋がるのではないかと懸念しています。

#命令
この状況を改善し、社員一人ひとりが自社の魅力や専門性を発信できる「全員広報」体制を構築するための、具体的で実行可能な戦略プランを提案してください。

#提案に含めるべき項目
1.  **現状分析:** 「社長ワンマン広報」がもたらすメリット、デメリット、そして将来的なリスクを客観的に分析してください。
2.  **目指すべきゴール:** 社員が情報発信を始めることで、会社にどのような良い変化（例：採用力強化、顧客からの信頼獲得、企業文化の醸成など）が期待できるかを具体的に示してください。
3.  **具体的なアクションプラン（3案）:**
    *   **プランA（スモールスタート案）:** まずは低リスクで始められ、成功体験を積みやすい施策。
    *   **プランB（部署特化案）:** 特定の部署（例：技術部、営業部など）からモデルケースを作る施策。
    *   **プランC（全社プロジェクト案）:** 全社を巻き込んで本格的に推進する施策。
    *   ※各プランについて、目的、具体的な進め方、メリット、デメリットを明確に記述してください。
4.  **成功のためのサポート体制:**
    *   情報発信に不慣れな社員や、不安を感じる社員をサポートするための具体的な仕組み（例：ガイドライン作成、勉強会の開催、発信内容のレビュー体制など）を提案してください。
5.  **社長への説得方法:**
    *   この変革の必要性とメリットを社長に理解してもらい、協力を得るための効果的な説明のポイントや想定問答を教えてください。

#出力形式
*   上記の項目を網羅し、中小企業の経営者がすぐに理解し、行動に移せるよう、専門用語を避け、論理的かつ平易な言葉で記述してください。
*   各項目は見出しを付けて分かりやすく整理してください。

」"
,87,デザインに関する最終判断は、すべて社長の「好き嫌い」で決まるため、担当者は常に社長の顔色を伺っている。,デザインに関する最終判断を社長に委ねるが、社長が多忙なため、デザインの意図や背景をじっくり説明する時間を確保できない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社長の好き嫌いでデザインが決まる用） ▼▼▼
あなたは、中小企業の経営課題とデザインの重要性を熟知した、経験豊富なビジネスコンサルタント兼アートディレクターです。
以下の深刻な課題を解決するための、具体的かつ実践的なアクションプランを提案してください。

# 相談したい状況
私は中小企業で働くデザイン担当者です。現在、以下の課題に直面しています。
- **課題:** Webサイト、広告、製品パッケージなど、あらゆるデザインの最終的な意思決定が、すべて社長個人の「好き嫌い」という主観的な感覚のみで決まります。
- **問題点:**
    - ロジックやデータ、ターゲット顧客の視点に基づいたデザイン提案も、社長の一言で簡単に覆されます。
    - 結果として、担当者は常に社長の顔色を伺うことに疲弊し、モチベーションが著しく低下しています。
    - デザインに一貫性がなくなり、ブランドイメージが毀損されたり、ビジネス上の機会損失が発生していると感じています。

# 依頼事項
この属人的で非生産的な状況を打開し、社長に「デザインはビジネス課題を解決するための戦略的ツールである」という視点を持ってもらうための、具体的かつ実践的なアクションプランを、以下の構成で提案してください。

1.  **説得ロジックの構築:**
    社長に「なるほど」と思わせるための、具体的な会話の切り口、トークスクリプト例を複数提示してください。また、その際に提示すべき客観的データ（例：競合他社のデザイン分析、ターゲット顧客の声、簡易的なA/Bテストの結果など）の種類と、その効果的な見せ方を詳細に教えてください。

2.  **段階的なアプローチ:**
    まず明日から試せる「小さな一歩」から、中長期的に組織のデザイン文化を変えていくための「大きな戦略」まで、具体的なステップを時系列で提案してください。

3.  **賢い選択肢の提示方法:**
    社長の「好き嫌い」を頭ごなしに否定せず、尊重しつつも、ビジネス的な観点から最適なデザイン案に誘導するための、プロフェッショナルな選択肢の提示方法（例：「松竹梅」の3案提示のコツや、それぞれの案のメリット・デメリットの伝え方など）を教えてください。

4.  **やってはいけないNG行動:**
    この状況をさらに悪化させる可能性がある、担当者が絶対に取るべきではない行動を具体的にリストアップしてください。

5.  **担当者のマインドセット:**
    疲弊した担当者が、精神的な負担を軽減し、プロとして前向きにこの課題に取り組むための心構えや思考法をアドバイスしてください。
」"
,88,社長がトップセールスマンとして、大口顧客との関係を一人で築いており、そのノウハウが他の営業担当者に継承されていない。,社長が持つトップセールスとしてのノウハウを、他の営業担当者に時間をかけて継承・教育する仕組みが整っていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（社長のトップセールスノウハウ継承問題用） ▼▼▼
あなたは、中小企業の組織開発と営業力強化を専門とする、非常に優秀な経営コンサルタントです。
これから、私が直面している経営課題について相談しますので、具体的で実行可能なアクションプランを提案してください。

# 相談したい状況
- **会社:** 私が所属する中小企業
- **課題:** 社長が創業以来のトップセールスマンとして、ほとんどの大口顧客との関係を一人で築いています。
- **問題点:** 社長の営業ノウハウ（顧客との関係構築、提案の勘所、クロージングの技術など）が完全に属人化しており、他の営業担当者に全く継承されていません。
- **懸念事項:**
  - 社長に万が一のことがあった場合、主要な売上を失うリスクが非常に高い。
  - 組織としての営業力が育たず、事業のスケールが見込めない。
  - 若手営業担当者が成長機会を得られず、モチベーションが低下している。

# 命令
この深刻な属人化問題を解決し、組織的な営業力を高めるための、網羅的で実行可能なアクションプランを提案してください。
提案は、以下の構成で、明日から何をすべきかが分かるように具体的かつ体系的に記述してください。

---

### **【提案の構成】**

**1. 現状分析と潜在的リスクの深掘り**
   - この状況が引き起こす、短期・中期・長期的なリスクを5つ以上挙げてください。

**2. 解決に向けたロードマップ（ステップ・バイ・ステップ形式）**
   - **ステップ1：準備段階（最初の1ヶ月）**
     - 社長の協力を得るための具体的なアプローチ方法とトークスクリプトの例を3つ提示してください。社長の功績を称えつつ、未来への危機感とメリットを伝える点に配慮してください。
   - **ステップ2：ノウハウの可視化（～3ヶ月）**
     - 社長の頭の中にある「暗黙知」を「形式知」に変えるための具体的な手法を5つ挙げ、それぞれの進め方を説明してください。（例：同行営業のオブザーブシート作成、成功事例ヒアリング、セールスプレーブックの骨子作成など）
   - **ステップ3：共有と実践（～6ヶ月）**
     - 可視化されたノウハウを、他の営業担当者が実践レベルで習得するための仕組みを提案してください。（例：ロールプレイング研修、週次でのナレッジ共有会、メンター制度など）
   - **ステップ4：定着と仕組化（～1年）**
     - 継承したノウハウを陳腐化させず、組織の資産として定着させるための仕組みを提案してください。（例：SFA/CRMを活用したナレッジマネジメント、成功事例のデータベース化、評価制度への反映など）

**3. 導入を推奨するツール**
   - この取り組みを効率化するために有効なITツール（例：SFA、CRM、ナレッジ共有ツールなど）のカテゴリーと、その選定ポイントを説明してください。

**4. 成功のための最重要ポイント**
   - この改革を進める上で、失敗しないために最も注意すべき点を3つ挙げてください。
」"
,89,ブランドに関する重要な情報や判断基準が、特定の役員の頭の中にしかなく、その人がいないと何も決まらない。,ブランドに関する重要な情報や判断基準が、特定の役員の頭の中にあり、それを全社で共有できるガイドラインとして文書化する時間が取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（ブランド戦略の属人化解消用） ▼▼▼

#役割
あなたは、中小企業のブランド戦略における属人化問題の解消を専門とする、経験豊富なブランドコンサルタントです。

#背景
私の会社は中小企業です。当社のブランドに関する重要な情報（創業の想い、価値観、ターゲット顧客像、将来のビジョンなど）や、クリエイティブ（デザイン、コピーなど）に関する意思決定の基準が、特定の役員A氏の頭の中にしか存在しません。
その結果、A氏が不在だとブランドに関する重要な判断が全く進まず、他の社員は自信を持ってブランドを体現した行動や制作をすることができません。この深刻な属人化を解消し、組織の共有財産としての「ブランドの軸」を確立したいと考えています。

#命令
以下の4つのステップに従って、この問題を解決するための具体的で実践的なアクションプランを、私がすぐに行動に移せる形で作成してください。

### ステップ1：全体計画の策定
属人化を解消し、ブランドを組織の力にするための、最初から最後までの具体的なロードマップをステップ・バイ・ステップで提案してください。

### ステップ2：暗黙知を引き出すヒアリング設計
役員A氏の頭の中にある「ブランドの魂」とも言える暗黙知を、体系的に引き出すためのインタビュー質問リストを作成してください。質問は以下のカテゴリに分け、具体的で深掘りできる内容にしてください。
*   ブランドの根源（歴史、創業の想い、譲れない価値観）
*   ブランドの現在（我々は何者か、顧客にとっての価値、競合との決定的な違い）
*   ブランドの未来（目指す姿、社会に提供したい価値）
*   意思決定の基準（デザインや言葉選びで「良い」と感じる理由、「ダメだ」と感じる理由、具体的なOK/NG事例）

### ステップ3：共有資産化するためのドキュメント設計
ヒアリングで引き出した情報を、全社員がいつでも参照できる「ブランドガイドライン」としてまとめるための、最適な「目次構成案」を作成してください。誰が見ても分かりやすく、実践で使えるような構成にしてください。

### ステップ4：組織への浸透プラン
作成したブランドガイドラインを形骸化させず、全社員が自分ごととして理解し、日々の業務で活用するための、創造的で効果的なアイデアを3つ提案してください。

#制約
*   専門用語は避け、誰にでも理解できる平易な言葉を使ってください。
*   各ステップの回答は、見出しをつけて明確に分けてください。
」"
,90,社長の引退や、カリスマ的なベテラン社員の退職によって、会社の「らしさ」が失われてしまうことを、多くの社員が懸念している。,社長の引退やベテラン社員の退職が迫る中、彼らが持つ会社の「らしさ」を、時間をかけてヒアリングし、形式知化する取り組みができていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（会社の「らしさ」の継承用） ▼▼▼
あなたは、数々の中小企業の事業承継と組織文化の再構築を成功させてきた、日本トップクラスの組織開発コンサルタントです。

以下の【私たちの会社の状況】をプロとして深く分析し、これまで培ってきた全ての知識と経験を基に、私たちが直面している「らしさが失われる」という漠然とした不安を解消し、組織としてさらに力強く成長していくための、具体的で実行可能なアクションプランを提案してください。

# 私たちの会社の状況
*   **退職・引退するキーパーソン：**
    [例：創業者である社長 / 〇〇部門を立ち上げたカリスマ部長など]
*   **その人物が体現していた「会社のらしさ」：**
    [例：どんな無理難題にも「まずやってみよう」と挑戦する精神 / お客様以上に客様のことを考える徹底した顧客第一主義 / 部署の垣根なく、家族のように助け合う文化の中心にいた、など具体的に記述してください]
*   **社員たちが具体的に懸念していること：**
    [例：あの人がいないと、難しい判断ができなくなる / 技術や営業ノウハウが引き継がれないのではないか / 会社の明るい雰囲気がなくなり、ただの仕事場になってしまうのではないか、など]
*   **私たちが目指したい未来の姿：**
    [例：これまでの良さを大切にしながら、若い世代がもっと活躍できる会社にしたい / 社員一人ひとりが会社の理念を自分の言葉で語れる組織でありたい、など]

# 提案に必ず含めてほしい項目
1.  **課題の本質分析：**
    私たちが感じている「らしさが失われる」という不安の正体は何ですか？その裏にある、今すぐ向き合うべき本質的な課題を3つ、鋭く指摘してください。

2.  **「会社のらしさ」の言語化・可視化ワークショップ案：**
    目に見えない「らしさ」を、全社員が共有できる「共通の財産」に変えるための、具体的なワークショップの進め方をステップ形式で提案してください。参加者が主体的に楽しみながら取り組めるような、ユニークなアイデアを期待します。

3.  **「らしさ」を継承・進化させるための具体的なアクションプラン：**
    以下の3つのフェーズに分け、明日からでも始められる行動計画を、それぞれ最低3つずつ提案してください。
    *   **短期（〜3ヶ月）：応急処置と土台作り**
        *   （例：キーパーソンの「語録・武勇伝」を収集するプロジェクトチームの発足）
    *   **中期（〜1年）：仕組み化と浸透**
        *   （例：「らしさ」を体現した社員を表彰する制度の導入）
    *   **長期（3年〜）：新しい文化の創造**
        *   （例：言語化された「らしさ」を基準とした採用・評価・育成制度の再構築）

4.  **新体制で社員の求心力を高めるためのコミュニケーション戦略：**
    残された社員の不安を払拭し、新しいリーダーシップの下で組織の一体感を醸成するために、「誰が」「誰に」「何を」「どのように」伝えるべきか、具体的なコミュニケーションプランを設計してください。

# 出力形式
*   専門用語は極力使わず、中小企業の社員なら誰でも理解し、すぐに行動したくなるような、情熱的で分かりやすい言葉で記述してください。
*   各項目は明確な見出しを立て、箇条書きを効果的に使用して、構造的に整理された提案書として出力してください。
」"
,91,広報やデザインの担当者が、自分のセンスや感覚だけで業務を進めており、その判断基準が言語化・共有されていない。,広報やデザインの担当者が、日々の制作業務に追われ、自分の判断基準を言語化し、他のメンバーに共有する余裕がない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（広報・デザイン業務の属人化用） ▼▼▼
#役割
あなたは、優秀なブランドコンサルタント兼アートディレクターです。クライアントの頭の中にある曖昧な「センス」や「感覚」を、対話を通じて具体的な言葉に落とし込み、誰でも理解・実行可能な「判断基準」や「ガイドライン」として体系化するプロフェッショナルです。

#背景
私は中小企業の広報・デザイン担当者です。日々の業務において、自分のセンスや感覚を頼りに制作物（Webサイト、チラシ、SNS投稿など）を作成しています。しかし、なぜそのデザインやコピーが良いのかという判断基準が自分の中で言語化できておらず、上司や他部署のメンバーに論理的に説明したり、チームで共有したりすることができていません。このままでは業務が属人化し、クオリティの維持や後任への引き継ぎが困難になると危惧しています。

#依頼
これから、私の頭の中にある「なんとなく良い」「こっちの方がしっくりくる」といった感覚的な判断基準を、対話を通じて言語化し、チームで共有可能な「広報・デザインガイドライン」のたたき台を作成する手助けをしてください。

#進め方
1. まず、私が最近手がけた具体的な制作物を1つ、頭の中に思い浮かべます。
2. あなたは私に対して、その制作物に関する鋭い質問を、一度に一つずつ投げかけてください。
3. 私はあなたの質問に答えます。この対話を繰り返すことで、私の無意識の判断基準を深掘りしていきます。
4. 最終的に、私たちの対話から抽出された要素を、以下の【アウトプット形式】に沿って「ガイドラインのたたき台」としてまとめてください。

#アウトプット形式
---
**【広報・デザインガイドライン（たたき台）】**

**1. コアコンセプト:**
*   私たちの広報・デザイン活動が目指す、最も重要な提供価値は何か？

**2. ターゲットオーディエンス:**
*   誰に、どのようなポジティブな変化をもたらしたいか？

**3. トーン＆マナー:**
*   顧客にどのような印象や雰囲気を感じてほしいか？（キーワードを3〜5個で表現）

**4. デザイン原則 (Do's):**
*   デザインする上で「必ず守ること」「積極的に行うこと」のリスト
    *   例：余白を十分にとり、洗練された印象を与える
    *   例：専門用語は使わず、中学生でもわかる言葉で説明する

**5. デザイン原則 (Don'ts):**
*   デザインする上で「避けるべきこと」「やってはいけないこと」のリスト
    *   例：多くの色を使いすぎない（基本3色まで）
    *   例：根拠のない煽り文句は使用しない
---

#最初の行動
それでは、準備ができました。私が頭の中に思い浮かべた制作物（何を作ったかは、まだ言いません）について、私の判断基準を明らかにするための、あなたの最初の質問をしてください。
」"
,92,「これは〇〇さん（ベテラン）にしかできない仕事」という属人的な業務が多すぎる。,特定のベテラン社員にしかできない業務が多く、そのノウハウをマニュアル化したり、若手に教えたりする時間が十分に取れていない。,"「
#### ▼▼▼ Geminiへのコピペ用プロンプト（属人化業務の解消用） ▼▼▼

#役割
あなたは、中小企業の業務改善と組織開発を専門とする、経験豊富な経営コンサルタントです。特に、業務の属人化解消とナレッジマネジメントの導入において、数多くの成功実績を持っています。

#背景
私が所属する中小企業では、「これは〇〇さん（特定のベテラン社員）にしかできない」という属人化した業務が非常に多く、深刻な経営課題となっています。
この状況は、以下のリスクを内包しています。
- 特定社員の急な休職や退職によって、業務が完全に停止してしまうリスク。
- 業務のノウハウや重要な知見が組織に蓄積されず、若手社員が育たない。
- 業務プロセスがブラックボックス化し、改善や効率化が進まない。

私たちはこの問題を根本から解決し、組織として強く、持続可能な業務体制を構築したいと切に願っています。

#命令
上記の背景を踏まえ、業務の属人化を解消し、「誰でも一定の品質で業務を遂行できる体制」を構築するための、具体的で実践的なアクションプランを提案してください。提案は、以下のフレームワークに従って、ステップバイステップで詳細に記述してください。

---

**【属人化解消のためのアクションプラン】**

**ステップ1：現状の可視化と優先順位付け**
*   社内に散在する属人化業務を漏れなく洗い出すための具体的な方法（ヒアリング、業務フロー図の作成など）を教えてください。
*   洗い出した業務を「緊急度（業務が停止した際の影響の大きさ）」と「重要度（業務の複雑さ・専門性）」の2軸で評価し、どの業務から着手すべきか優先順位を付けるための考え方と、具体的な評価マトリクスの例を提示してください。

**ステップ2：業務の分解と標準化**
*   優先度の高い業務について、ベテラン社員の頭の中にある「暗黙知（経験や勘）」を「形式知（マニュアルや手順書）」に変換するための具体的なヒアリングテクニックや質問例を挙げてください。
*   誰が読んでも理解・実践できる、質の高い業務マニュアルを作成するための構成要素（例：目的、手順、判断基準、トラブルシューティング、FAQ）と、作成時のポイントを箇条書きで示してください。
*   テキストだけでなく、図解、スクリーンショット、動画などを活用した効果的なマニュアル作成のコツや、おすすめのツール（無料・有料問わず）を複数提案してください。

**ステップ3：ナレッジの共有と多能工化の推進**
*   作成したマニュアルを形骸化させず、組織全体で活用・更新していくための仕組み（例：定期的なレビュー会、ナレッジ共有ツールの導入）を提案してください。
*   ベテラン社員から他の社員へスキルを移転させるための効果的なOJT（On-the-Job Training）の進め方や、ペアワーク、社内勉強会などの具体的な施策を提案してください。
*   この変革に対して、ベテラン社員が「自分の仕事が奪われる」といった抵抗感を持つ可能性があります。彼・彼女らに協力を仰ぎ、ポジティブに関わってもらうための動機付けの方法や、コミュニケーション上の注意点をアドバイスしてください。

**ステップ4：定着と継続的な改善**
*   一度解消した属人化が再発しないように、業務プロセスに組み込むべきチェック機能や、新しい業務が発生した際のルール作りについて教えてください。
*   この取り組み全体を成功に導くために、経営者や管理職が果たすべき役割と、持つべきリーダーシップについて論じてください。

**最後に、このプロジェクトを推進する担当者が心に留めておくべき最も重要なマインドセットを3つ、力強い言葉でまとめてください。**
」"
